CD_REFNIS,TX_DESCR_NL,MS_POPULATION
38025,Veurne,12419
41002,Aalst (Aalst),90068
41011,Denderleeuw,20973
41018,Geraardsbergen,34724
41024,Haaltert,19281
41027,Herzele,18715
41034,Lede,19160
41048,Ninove,40093
41063,Sint-Lievens-Houtem,10658
41081,Zottegem,27677
41082,Erpe-Mere,20843
42003,Berlare,15446
42004,Buggenhout,14887
42006,Dendermonde,46916
42008,Hamme (Dendermonde),25368
42010,Laarne,12528
42011,Lebbeke,19925
42023,Waasmunster,11177
42025,Wetteren,26748
42026,Wichelen,11960
42028,Zele,21374
43002,Assenede,14636
43005,Eeklo,22140
43007,Kaprijke,6587
43010,Maldegem,24615
43014,Sint-Laureins,7041
43018,Zelzate,13543
44012,De Pinte,11116
44013,Destelbergen,19097
44019,Evergem,36557
44020,Gavere,13217
44021,Gent,268122
44034,Lochristi,23073
44040,Melle,11960
44043,Merelbeke,25200
44045,Moerbeke (Gent),6724
44048,Nazareth,12214
44052,Oosterzele,14024
44064,Sint-Martens-Latem,8257
44073,Wachtebeke,7837
44081,Zulte,16000
44083,Deinze,44930
44084,Aalter,29529
44085,Lievegem,26979
45035,Oudenaarde,32482
45041,Ronse,27075
45059,Brakel,15007
45060,Kluisbergen,6874
45061,Wortegem-Petegem,6552
45062,Horebeke,2036
45063,Lierde,6805
45064,Maarkedal,6340
45065,Zwalm,8320
45068,Kruisem,15952
46003,Beveren (Sint-Niklaas),50300
46013,Kruibeke,17056
46014,Lokeren,43064
46020,Sint-Gillis-Waas,19932
46021,Sint-Niklaas (Sint-Niklaas),81138
46024,Stekene,19273
46025,Temse,31191
51004,Aat,29946
51008,Beloeil,14289
51009,Bernissart,11932
51012,Brugelette,3823
51014,Chièvres,7045
51017,Elzele,5969
51019,Vloesberg,3422
51065,Frasnes-lez-Anvaing,12100
51067,Edingen,14347
51068,Opzullik,8420
51069,Lessen,18865
52010,Chapelle-lez-Herlaimont,14816
52011,Charleroi,203785
52012,Châtelet,35512
52015,Courcelles,31299
52018,Farciennes,11335
52021,Fleurus,22832
52022,Fontaine-lEvêque,18041
52025,Gerpinnes,12831
52048,Montigny-le-Tilleul,10116
52055,Pont-à-Celles,17549
52074,Aiseau-Presles,10903
52075,Les Bons Villers,9540
53014,Boussu,20096
53020,Dour,16578
53028,Frameries,21792
53039,Hensies,6797
53044,Jurbeke,10866
53046,Lens,4678
53053,Bergen,96465
53065,Quaregnon,18996
