Netwerk,Ziekenhuis ,Campus,Latitude,Longitude
KOM,AZ Sint-Jan,Campus Henri Serruys,51.2225015492271,2.9139914364430113
KOM,AZ Sint-Lucas Brugge,,51.185204674667595,3.2486864430987175
KOM,AZ Alma,,51.190944812660284,3.533498628493232
?,KEI,,51.14015872009584,2.697384240137231
KOM,BZIO,,51.21360137390991,2.874235016848453
MARE,AZ Zeno,Campus Knokke-Heist,51.32770894903687,3.292051918699804
MARE,AZ Zeno,Campus Blankenberge,51.30806691873857,3.125307018699245
MARE,AZ West,,51.062370163854524,2.669105426641518
MARE,AZ Damiaan,,51.21932558412828,2.93466180821877
Briant,CAD Heist o/d berg,,51.08593913072667,4.729516298356426
Briant,CAD Mechelen,,51.03637954540911,4.476977603334122
Helix,CAD Bornem,,51.100463852071364,4.233217470805907
Helix,CAD Edegem,,51.15784622620334,4.411171963418237
ZAS,CAD Antwerpen Linkerover,,51.23297752779444,4.378159678198657
E17,CAD Gentbrugge,,51.04232946537525,3.756428311286395
ZNG,CAD Aalter,,51.08229189779973,3.450647716829362
ZNG,CAD Zelzate,,51.19562780036061,3.823381351772513
ZNK,Gastenhuys,,51.39707081953386,4.7567227671192205
E17,CAD Oudenaarde,,50.84267570080511,3.6029406057391364
?,Pshychiatrisch ziekenhuis Bethanie,Elim - Kapellen,51.30331715606376,4.456658236434077
?,Psychiatrisch ziekenhuis Bethanie,Zoersel,51.27269368570561,4.637795836433239
?,Pyschiatrisch centrum Sint-Amandus,,51.115753189692256,3.317680482452982
?,Zorggroep Sint-Kamillus,Krijkelberg,50.852622032514915,4.752569568952005
?,Medisch centrum St.-Jozef,,50.88988280167159,5.525383426623658
?,Zorggroep Multiversum,PZ Alexianen,51.16278738659583,4.501280001490206
?,Zorggroep Multiversum,PZ Amedeus,51.185310023161925,4.450306689281241
?,Pshycotherapeutisch centrum Rustenburg,,51.2228688541554,3.198933580608536
?,Psychiatrisch ziekenhuis OLV Brugge,,51.19769712425679,3.21119389438331
?,Psychiatrisch ziekenhuis Sint-Annendael,,50.98805392298775,5.060127503332821
?,UPC Duffel,,51.09179627287463,4.497961895946394
?,Psychiatrisch ziekenhuis Sint-Jan,,51.18269973217268,3.5755648131374316
?,Psychiatrisch centrum Gent-Sleidinge,Gent,51.06243472145908,3.7241250149815337
?,Psychiatrisch centrum Gent-Sleidinge,Sleidinge,51.12505784989873,3.6681350916898188
?,Openbaar psychiatrisch zorgcentrum Geel,,51.15264299461058,4.983398540124662
?,Kinderspychiatrisch centrum ,,50.95702450273549,5.518231714978721
?,Psychiatrisch centrum Dr. Guislain,Sint-Alfons,51.034058252812116,3.7323108345795784
?,Psychiatrisch centrum Dr. Guislain,Dr. Guislain,51.06897136533073,3.704339295945774
?,Psychiatrisch centrum Dr. Guislain,De Deyne,51.01890991479256,3.7149781861450526
?,Psychiatrisch ziekenhuis Karus,Gent,51.02690622682595,3.675989268956598
?,Psychiatrisch ziekenhuis Karus,Melle,50.99552347773908,3.7760752806025017
?,Psychiatrisch ziekenhuis Sint-Alexius,,50.91976102438555,4.360850113130426
?,Psychiatrisch ziekenhuis Heilig Hart,,50.84923490318824,2.869138611281269
?,Associatie UPC KU Lueven,Kortenberg,50.89100322136845,4.552108112566809
?,Associatie UPC KU Lueven,Gasthuisberg,50.87827182742222,4.669226505740102
?,Psychiatrisch ziekenhuis Heilige familie,,50.82925405332553,3.2757613903975074
?,Openbaar psychiatrisch zorgcentrum Rekem,,50.92881446707217,5.667481606739221
?,Psychiatrisch centrum Ariadne,,50.966703287189695,3.9723087708023295
?,Psychiatrische kliniek Alexianen,Mechelsestraat,50.882781282370885,4.69932618429413
?,Psychiatrische kliniek Alexianen,Liefdestraat,50.80872747163893,4.944829067103515
?,Psychiatrisch centrum Menen,,50.798420359522964,3.123921276902633
?,Psychiatrisch ziekenhis Frapello,Oosterzele,50.942665164761344,3.7888120824483953
?,Psychiatrisch ziekenhuis Frapello,Zottegem ,50.88115073956582,3.780680988551545
?,Kliniek Sint-Jozef,,50.983374111324494,3.247684040683002
?,Psychiatrisch centrum Sint-Hieronymus,,51.16321377302815,4.133347498358436
?,Psychiatrisch ziekenhuis Sint-Lucia,,51.167026803024385,4.148096538277759
?,Psychiatries ziekenhuis Asster,Melveren,50.8376241452806,5.196493160718116
?,Psychiatries ziekenhuis Asster,Stad,50.81243857231086,5.178698521845734
?,Psychiatrisch centrum Sint-Jan Baptist,,51.18736709421375,3.8045670094429442
?,Revalidatieziekenhuis RevArte,,51.15459224058576,4.408940161843121
?,Nationaal Multiple Sclerose Centrum,,50.918553197142444,4.478199693297528
?,Provinciaal Zorgcentrum Lemberge,,50.99688030617866,3.7701367063182003
?,Revalidatie & MS centrum,,51.19288005842221,5.3883878644345105
?,Ziekenhuis Inkendaal-Koninklijke instelling,,50.80375334883644,4.2236973621744385
?,Verpleeginrichting De Dennen,,51.285416285221416,4.640884435878143
CHORUS,Chirec,Delta ziekenhuis,50.81655826466691,4.399379680687251
CHORUS,Chirec,Sint-Anna Sint-Remi,50.845393341089064,4.317534238359525
CHORUS,Chirec,Basiliek ziekenhuis,50.8696214089061,4.317867492331102
CHORUS,Chirec,Braine l'Alleud-Waterloo ziekenhuis,50.685623977257535,4.3683472752110735
?,Centrehospitalier Jean Teteca,Campus 4 Saisons,50.854179595018735,4.391926930417896
H.Uni,Cliniques universitaire Saint-Luc,,50.85300628539155,4.452688587790331
H.Uni,Europaziekenhuizen,Campus Sint-Elisabeth,50.80525668227602,4.368931136508136
H.Uni,Europaziekenhuizen,Campus Sint-Michiel,50.843142679994905,4.399791121687421
CHORUS,Erasmus ziekenhuis,Campus Erasmus,50.81346018887461,4.265793533341801
CHORUS,Erasmus ziekenhuis,Centre de tramatologie et de readaption,50.88707534578518,4.3332638653831035
CHORUS,Erasmus ziekenhuis,Centre de revalidation gériatrique,50.851007956202196,4.42200305371946
CHORUS,Iris ziekenhuizen,Baron Lambert,50.8350186657408,4.389827384388314
CHORUS,Iris ziekenhuizen,Etterbeek-Ixelles,50.82530099320426,4.3795565322674
CHORUS,Iris ziekenhuizen,Joseph Bracops,50.833949595834184,4.293300170895566
CHORUS,Iris ziekenhuizen,Molière Longchamp,50.815446360510656,4.342508661102921
CHORUS,Instituut Jules Brodet,,50.812333383533506,4.262244336508376
H.Uni,Kliniek Sint-Jan,Campus Kruidtuin,50.854591805184796,4.360835451852461
H.Uni,Kliniek Sint-Jan,Campus Middaglijn,50.85601404457591,4.3699195685051375
H.Uni,Kliniek Sint-Jan,Campus Leopold I,50.875449204874016,4.336744628295019
?,Silva Medical,Scheutbos ziekenhuis,50.855082130438404,4.296054203432451
?,Silva Medical,Clinique du Bois de la Pierre,50.6959042228286,4.616206793367672
CHORUS,Universitair Kinderziekenhuis Koningin Fabiola,,50.88935009912193,4.3295438690467565
?,Valisana,Campus Valida,50.8671116475781,4.306969199732188
CHORUS,UVC Brugmann,Campus Horta,50.88707534578518,4.3332638653831035
CHORUS,UVC Brugmann,Campus Brien,50.871421685267485,4.3880343304183365
CHORUS,UVC Brugmann,Campus koningin Astrid,50.907463482452805,4.392656978839379
CHORUS,UMC Sint Pieter,Campus Hallepoort,50.83434554685485,4.347814226716785
CHORUS,UMC Sint Pieter,Campus César De Paepe,50.84346199628111,4.350221623016469
Phare,Centre hospitalier de Wallonie Picarde,Notre-Dame,50.613794476327044,3.3871247443675476
?,Centre hospitalier de Wallonie Picarde,Union Tournai,50.599898231451284,3.383617198184791
?,Centre hospitalier de Wallonie Picarde,IMC Tournai,50.5932582975002,3.40241598207849
Phare,Centre hospitalier Epicura,Ath,50.63485413318734,3.77719675729952
Phare,Centre hospitalier Epicura,Hornu ,50.436303034262515,3.830605979461952
Phare,Centre hospitalier Epicura,Baudour,50.47014316187191,3.8413048898251
?,Chr Haute Senne,Le Goeland,50.563894397703365,3.9844983419563156
?,Chr Haute Senne,Le Tilleriau soignies,50.581594663646015,4.078693417941851
?,Chr Haute Senne,Saint Vincent Soignies,50.57703811622047,4.0674105075794165
HELORA,Pole hospitalier Jolimont,Warquignies,50.41745191513264,3.807726259141068
HELORA,Pole hospitalier Jolimont,Mons,50.45443528477882,3.9605258112708333
HELORA,Pole hospitalier Jolimont,Jolimont,50.47694143896449,4.21586935729537
HELORA,Pole hospitalier Jolimont,Lobbes,50.346061398067384,4.261566507010461
HELORA,Pole hospitalier Jolimont,Nivelles,50.59532225565482,4.31733797392421
HELORA,CHU Ambroise pare,,50.45787951941776,3.9619703456481425
?,CHU Tivoli,,50.47846579454966,4.206779343801376
